stick,part,length_mm,rip_to_mm,ends,qty,example
2x10,CeilingBoard,200.0,,square,20,CeilingBoard_00_00
2x10,EndBoard,200.0,,square,19,EndBoard_-1_0_00_1
2x10,EndBoard,200.0,6.0,square,2,EndBoard_-1_0_06_1
2x10,EndBoard,200.0,4.0,square,1,EndBoard_1_0_20_1
2x10,EndBoard,150.0,,square,51,EndBoard_-1_0_00_0
2x10,EndBoard,150.0,6.0,square,6,EndBoard_-1_0_06_0
2x10,EndBoard,150.0,4.0,square,1,EndBoard_1_0_20_0
2x10,EndBoard,110.0,,square,3,EndBoard_-1_1_01_0
2x10,EndBoard,100.0,,square,16,EndBoard_-1_0_01_0
2x10,EndBoard,100.0,6.0,square,2,EndBoard_-1_0_07_0
2x10,EndBoard,50.0,,square,19,EndBoard_-1_0_00_2
2x10,EndBoard,50.0,6.0,square,2,EndBoard_-1_0_06_2
2x10,EndBoard,50.0,4.0,square,1,EndBoard_1_0_20_2
2x10,EndBoard,10.0,,square,3,EndBoard_-1_1_00_0
2x10,FloorBoard,200.0,,square,20,FloorBoard_00_00
2x10,RoofBoard,41.5,,angled,20,RoofBoard_00_1_00
2x10,RoofBoard,41.0,,angled,32,RoofBoard_00_0_00
2x10,RoofBoard,41.0,6.5,angled,8,RoofBoard_00_0_03
2x10,RoofBoard,41.0,5.6,angled,4,RoofBoard_00_1_05
2x10,RoofBoard,41.0,3.8,angled,4,RoofBoard_00_2_05
2x10,RoofBoard,36.5,,angled,52,RoofBoard_02_0_00
2x10,RoofBoard,36.5,5.6,angled,4,RoofBoard_02_1_05
2x10,RoofBoard,36.0,6.5,angled,8,RoofBoard_02_0_03
2x10,RoofBoard,36.0,3.8,angled,4,RoofBoard_02_2_05
2x10,RoofBoard,33.5,,square,52,RoofBoard_01_0_00
2x10,RoofBoard,33.5,6.5,square,8,RoofBoard_01_0_03
2x10,RoofBoard,33.5,5.6,square,4,RoofBoard_01_1_05
2x10,RoofBoard,33.5,3.9,square,4,RoofBoard_01_2_05
2x10,SideBoard,200.0,,square,20,SideBoard_-1_00_1
2x10,SideBoard,150.0,,square,40,SideBoard_-1_00_0
2x10,SideBoard,100.0,,square,40,SideBoard_-1_01_0
3x5,ColumnDiagonal,106.0,,angled,6,ColumnDiagonal_-1_01_3
3x5,ColumnDiagonal,105.5,,angled,4,ColumnDiagonal_-1_02_0
3x5,ColumnDiagonal,104.0,,angled,4,ColumnDiagonal_-1_02_1
3x5,ColumnDiagonal,102.5,,angled,16,ColumnDiagonal_-1_00_0
3x5,ColumnDiagonal,100.5,,angled,8,ColumnDiagonal_-1_00_1
3x5,ColumnDiagonal,100.0,,angled,10,ColumnDiagonal_-1_01_0
3x5,ColumnDiagonal,98.0,,angled,8,ColumnDiagonal_-1_02_2
3x5,ColumnInner,102.0,,square,56,ColumnInner_-1_00_-1_00
3x5,ColumnInner,100.0,,square,56,ColumnInner_-1_00_-1_01
3x5,ColumnOuter,104.5,,angled,16,ColumnOuter_-1_01_-1_00
3x5,ColumnOuter,103.0,,angled,12,ColumnOuter_-1_00_-1_03
3x5,ColumnOuter,102.5,,angled,12,ColumnOuter_-1_00_-1_00
3x5,ColumnOuter,102.0,,angled,16,ColumnOuter_-1_04_-1_00
3x5,ColumnOuter,101.5,,angled,8,ColumnOuter_-1_01_-1_02
3x5,ColumnOuter,101.0,,angled,32,ColumnOuter_-1_00_-1_01
3x5,ColumnOuter,100.5,,angled,8,ColumnOuter_-1_01_-1_01
3x5,ColumnOuter,100.0,,angled,8,ColumnOuter_-1_04_-1_01
3x5,ColumnRung,45.0,,square,4,ColumnRung_-1_00_2
3x5,ColumnRung,45.0,3.0,square,14,ColumnRung_-1_00_4
3x5,ColumnRung,43.5,,square,8,ColumnRung_-1_01_1
3x5,ColumnRung,40.0,,square,4,ColumnRung_-1_01_2
3x5,ColumnRung,35.0,,square,12,ColumnRung_-1_00_1
3x5,ColumnRung,30.0,,square,4,ColumnRung_-1_02_2
3x5,ColumnRung,26.5,,square,8,ColumnRung_-1_01_3
3x5,ColumnRung,25.0,3.0,square,14,ColumnRung_-1_00_0
3x5,ColumnRung,25.0,,square,2,ColumnRung_-1_03_2
3x5,ColumnStrap,20.0,,square,168,ColumnStrap_-1_00_I_1_-1
3x5,EndRail,210.0,,square,13,EndRail_-1_04_0
3x5,EndRail,210.0,3.0,square,3,EndRail_-1_09_0
3x5,EndRail,70.0,3.0,square,2,EndRail_-1_00_0
3x5,EndRail,70.0,,square,6,EndRail_-1_01_0
3x5,EntranceBaseSeat,80.0,,square,2,EntranceBaseSeat_0
3x5,EntranceHeader,70.0,,square,2,EntranceHeader_0
3x5,EntranceJamb,142.0,,square,4,EntranceJamb_-1_0
3x5,GroundPlanBrace,47.0,,angled,4,GroundPlanBrace_1_0_1
3x5,GroundPlanBrace,44.5,,angled,2,GroundPlanBrace_1_0_0
3x5,GroundPlanBrace,34.5,,angled,2,GroundPlanBrace_0_0_0
3x5,GroundPlanBrace,34.0,,angled,6,GroundPlanBrace_0_1_0
3x5,LongBrace,101.5,,angled,8,LongBrace_-1_0_0
3x5,LongBrace,99.5,,angled,8,LongBrace_-1_0_1
3x5,LongTie,30.5,3.0,square,24,LongTie_-1_0_01
3x5,LongTie,30.5,,square,36,LongTie_-1_1_01
3x5,LongTie,5.0,3.0,square,12,LongTie_-1_1_00
3x5,LongTie,3.0,3.0,square,8,LongTie_-1_0_00
3x5,MatLower,225.0,,square,13,MatLower_00
