GEOMETRY v05: 30167 meshes; SHA256(names/world vertices at1micrometre)=9968993522e362026e472282a4226d99961ec4017ae27497458e024213082417; loaded C:\Users\lukap\Documents\GitHub\craftbot\experiments\17_Arrhenius_Laboratories\Astra\experiment_17_astra_v05_blender.blend
Per-object bridge: all local meshes unchanged; 93 transform matrices differ; only29 objects differ in world coordinates; maximum3.814697265625e-6m.
29 changed objects are19 court treads (maximum0.2384185791 micrometres) and10 inclined-glazing rails (maximum3.814697265625 micrometres). Every other world vertex is bit-identical to checked preflight, including all4534 slab-end cases,261 new seats, terrace, cores, insert45 interfaces,250 carried structural seats and ledger roots.
This check uses actual final rendered tread undersides against actual waist upward faces, within existing20-micrometre float32 seam allowance.
CourtStair_01: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_01A', 'CourtWaist_01B']; PASS
CourtStair_02: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_02']; PASS
CourtStair_03: required0.735006561270m2; uncovered0.000018691993m2; tolerance0.000110000000m2; seats['CourtWaist_03']; PASS
CourtStair_04: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_04']; PASS
CourtStair_05: required0.735006561270m2; uncovered0.000018691993m2; tolerance0.000110000000m2; seats['CourtWaist_05']; PASS
CourtStair_06: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_06']; PASS
CourtStair_07: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_07']; PASS
CourtStair_08: required0.735006561270m2; uncovered0.000018691993m2; tolerance0.000110000000m2; seats['CourtWaist_08']; PASS
CourtStair_09: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_09']; PASS
CourtStair_10: required0.735006561270m2; uncovered0.000018691993m2; tolerance0.000110000000m2; seats['CourtWaist_10']; PASS
CourtStair_11: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_11']; PASS
CourtStair_12: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_12']; PASS
CourtStair_13: required0.735006561270m2; uncovered0.000018691993m2; tolerance0.000110000000m2; seats['CourtWaist_13']; PASS
CourtStair_14: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_14']; PASS
CourtStair_15: required0.735006561270m2; uncovered0.000018691993m2; tolerance0.000110000000m2; seats['CourtWaist_15']; PASS
CourtStair_16: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_16']; PASS
CourtStair_17: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_17']; PASS
CourtStair_18: required0.735006561270m2; uncovered0.000018691993m2; tolerance0.000110000000m2; seats['CourtWaist_18']; PASS
CourtStair_19: required0.735006561270m2; uncovered0.000000000000m2; tolerance0.000110000000m2; seats['CourtWaist_19']; PASS
19/19 actual final rendered tread underside unions PASS. Existing public/route margins use20-micrometre geometric seam allowances; affected tread drift is below0.24micrometre, other changed rails below3.82micrometres. No physical route or support change.
Final standard complete SAT/contact checked rendered reset matrices after save:30,167/0penetrating/0floating. No standard check repeated.
