GEOMETRY v04: 29876 meshes; SHA256(names/world vertices at1micrometre)=8a02c4b9865c497bbd2d1af58a76140a978e0863a98ebd97a32ff63a26951657; loaded C:\Users\lukap\Documents\GitHub\craftbot\experiments\17_Arrhenius_Laboratories\Astra\preflight_v04.blend
Retained frame/floor/stair/insert signatures: 14056 current / 14056 v03; changed []
SouthSupportBracket_0_0: rail face (0.010000034570680327, ['SouthSupportPost_0', 'SouthSupportRail_0_Fit0']); concrete face (0.010000034570680327, ['Beam_3_0_0_0_0']); PASSTrue
SouthSupportBracket_0_1: rail face (0.009999939203282793, ['SouthSupportPost_0', 'SouthSupportRail_1_Fit0']); concrete face (0.009999939203282793, ['Beam_4_0_0_0_0']); PASSTrue
SouthSupportBracket_0_2: rail face (0.009999843835885258, ['SouthSupportPost_0', 'SouthSupportRail_2_Fit0']); concrete face (0.009999843835885258, ['Beam_5_0_0_0_0']); PASSTrue
SouthSupportBracket_10_0: rail face (0.009999885558499955, ['SouthSupportPost_10', 'SouthSupportRail_0_Fit10', 'SouthSupportRail_0_Fit9']); concrete face (0.009999885558499955, ['Beam_3_0_0_3_0']); PASSTrue
SouthSupportBracket_10_1: rail face (0.009999790192523506, ['SouthSupportPost_10', 'SouthSupportRail_1_Fit10', 'SouthSupportRail_1_Fit9']); concrete face (0.009999790192523506, ['Beam_4_0_0_3_0']); PASSTrue
SouthSupportBracket_10_2: rail face (0.009999694826547056, ['SouthSupportPost_10', 'SouthSupportRail_2_Fit10', 'SouthSupportRail_2_Fit9']); concrete face (0.009999694826547056, ['Beam_5_0_0_3_0']); PASSTrue
SouthSupportBracket_11_0: rail face (0.009999885558499955, ['SouthSupportPost_11', 'SouthSupportRail_0_Fit10', 'SouthSupportRail_0_Fit11']); concrete face (0.009999885558499955, ['Beam_3_0_0_3_0']); PASSTrue
SouthSupportBracket_11_1: rail face (0.009999790192523506, ['SouthSupportPost_11', 'SouthSupportRail_1_Fit10', 'SouthSupportRail_1_Fit11']); concrete face (0.009999790192523506, ['Beam_4_0_0_3_0']); PASSTrue
SouthSupportBracket_11_2: rail face (0.009999694826547056, ['SouthSupportPost_11', 'SouthSupportRail_2_Fit10', 'SouthSupportRail_2_Fit11']); concrete face (0.009999694826547056, ['Beam_5_0_0_3_0']); PASSTrue
SouthSupportBracket_12_0: rail face (0.009999885558499955, ['SouthSupportPost_12', 'SouthSupportRail_0_Fit11', 'SouthSupportRail_0_Fit12']); concrete face (0.009999885558499955, ['Column_60']); PASSTrue
SouthSupportBracket_12_1: rail face (0.009999790192523506, ['SouthSupportPost_12', 'SouthSupportRail_1_Fit11', 'SouthSupportRail_1_Fit12']); concrete face (0.009999790192523506, ['Column_60']); PASSTrue
SouthSupportBracket_12_2: rail face (0.009999694826547056, ['SouthSupportPost_12', 'SouthSupportRail_2_Fit11', 'SouthSupportRail_2_Fit12']); concrete face (0.009999694826547056, ['Column_60']); PASSTrue
SouthSupportBracket_13_0: rail face (0.009999885558499955, ['SouthSupportPost_13', 'SouthSupportRail_0_Fit12', 'SouthSupportRail_0_Fit13']); concrete face (0.009999885558499955, ['Beam_3_0_0_4_0']); PASSTrue
SouthSupportBracket_13_1: rail face (0.009999790192523506, ['SouthSupportPost_13', 'SouthSupportRail_1_Fit12', 'SouthSupportRail_1_Fit13']); concrete face (0.009999790192523506, ['Beam_4_0_0_4_0']); PASSTrue
SouthSupportBracket_13_2: rail face (0.009999694826547056, ['SouthSupportPost_13', 'SouthSupportRail_2_Fit12', 'SouthSupportRail_2_Fit13']); concrete face (0.009999694826547056, ['Beam_5_0_0_4_0']); PASSTrue
SouthSupportBracket_14_0: rail face (0.009999885558499955, ['SouthSupportPost_14', 'SouthSupportRail_0_Fit13', 'SouthSupportRail_0_Fit14']); concrete face (0.009999885558499955, ['Beam_3_0_0_4_0']); PASSTrue
SouthSupportBracket_14_1: rail face (0.009999790192523506, ['SouthSupportPost_14', 'SouthSupportRail_1_Fit13', 'SouthSupportRail_1_Fit14']); concrete face (0.009999790192523506, ['Beam_4_0_0_4_0']); PASSTrue
SouthSupportBracket_14_2: rail face (0.009999694826547056, ['SouthSupportPost_14', 'SouthSupportRail_2_Fit13', 'SouthSupportRail_2_Fit14']); concrete face (0.009999694826547056, ['Beam_5_0_0_4_0']); PASSTrue
SouthSupportBracket_15_0: rail face (0.009999885558499955, ['SouthSupportPost_15', 'SouthSupportRail_0_Fit14', 'SouthSupportRail_0_Fit15']); concrete face (0.009999885558499955, ['Column_80']); PASSTrue
SouthSupportBracket_15_1: rail face (0.009999790192523506, ['SouthSupportPost_15', 'SouthSupportRail_1_Fit14', 'SouthSupportRail_1_Fit15']); concrete face (0.009999790192523506, ['Column_80']); PASSTrue
SouthSupportBracket_15_2: rail face (0.009999694826547056, ['SouthSupportPost_15', 'SouthSupportRail_2_Fit14', 'SouthSupportRail_2_Fit15']); concrete face (0.009999694826547056, ['Column_80']); PASSTrue
SouthSupportBracket_16_0: rail face (0.009999885558499955, ['SouthSupportPost_16', 'SouthSupportRail_0_Fit15', 'SouthSupportRail_0_Fit16']); concrete face (0.009999885558499955, ['Beam_3_0_0_5_0']); PASSTrue
SouthSupportBracket_16_1: rail face (0.009999790192523506, ['SouthSupportPost_16', 'SouthSupportRail_1_Fit15', 'SouthSupportRail_1_Fit16']); concrete face (0.009999790192523506, ['Beam_4_0_0_5_0']); PASSTrue
