GEOMETRY v06: 29976 meshes; SHA256(names/world vertices at1micrometre)=523cd725f671151f70fb591add45a53875bbd80cb619a85760088230495d1416; loaded C:\Users\lukap\Documents\GitHub\craftbot\experiments\17_Arrhenius_Laboratories\Astra\preflight_v06.blend
FULL FOOTPRINT SEATS: 250 tested; 0 failures; actual mesh horizontal faces; 0.01mm numerical tolerance.
Column_0 -> Pedestal_0: area0.3600m2; coverage1.000000; gap0.00000000m
Column_1 -> Pedestal_1: area0.3600m2; coverage1.000000; gap0.00000000m
Column_10 -> Pedestal_10: area0.3600m2; coverage1.000000; gap0.00000000m
Column_100 -> Pedestal_100: area0.3600m2; coverage1.000000; gap0.00000000m
Column_101 -> Pedestal_101: area0.3600m2; coverage1.000000; gap0.00000000m
Column_102 -> Pedestal_102: area0.3600m2; coverage1.000000; gap0.00000000m
Column_103 -> Pedestal_103: area0.3600m2; coverage1.000000; gap0.00000000m
Column_104 -> Pedestal_104: area0.3600m2; coverage1.000000; gap0.00000000m
Column_105 -> Pedestal_105: area0.3600m2; coverage1.000000; gap0.00000000m
Column_106 -> Pedestal_106: area0.3600m2; coverage1.000000; gap0.00000000m
Column_107 -> Pedestal_107: area0.3600m2; coverage1.000000; gap0.00000000m
Column_108 -> Pedestal_108: area0.3600m2; coverage1.000000; gap0.00000000m
Column_109 -> Pedestal_109: area0.3600m2; coverage1.000000; gap0.00000000m
Column_11 -> Pedestal_11: area0.3600m2; coverage1.000000; gap0.00000000m
Column_110 -> Pedestal_110: area0.3600m2; coverage1.000000; gap0.00000000m
Column_111 -> Pedestal_111: area0.3600m2; coverage1.000000; gap0.00000000m
Column_112 -> Pedestal_112: area0.3600m2; coverage1.000000; gap0.00000000m
Column_113 -> Pedestal_113: area0.3600m2; coverage1.000000; gap0.00000000m
Column_114 -> Pedestal_114: area0.3600m2; coverage1.000000; gap0.00000000m
Column_115 -> Pedestal_115: area0.3600m2; coverage1.000000; gap0.00000000m
Column_116 -> Pedestal_116: area0.3600m2; coverage1.000000; gap0.00000000m
Column_117 -> Pedestal_117: area0.3600m2; coverage1.000000; gap0.00000000m
Column_118 -> Pedestal_118: area0.3600m2; coverage1.000000; gap0.00000000m
Column_119 -> Pedestal_119: area0.3600m2; coverage1.000000; gap0.00000000m
Column_12 -> Pedestal_12: area0.3600m2; coverage1.000000; gap0.00000000m
Column_120 -> Pedestal_120: area0.3600m2; coverage1.000000; gap0.00000000m
Column_121 -> Pedestal_121: area0.3600m2; coverage1.000000; gap0.00000000m
Column_122 -> Pedestal_122: area0.3600m2; coverage1.000000; gap0.00000000m
Column_123 -> Pedestal_123: area0.3600m2; coverage1.000000; gap0.00000000m
Column_124 -> Pedestal_124: area0.3600m2; coverage1.000000; gap0.00000000m
Column_13 -> Pedestal_13: area0.3600m2; coverage1.000000; gap0.00000000m
Column_14 -> Pedestal_14: area0.3600m2; coverage1.000000; gap0.00000000m
Column_15 -> Pedestal_15: area0.3600m2; coverage1.000000; gap0.00000000m
Column_16 -> Pedestal_16: area0.3600m2; coverage1.000000; gap0.00000000m
Column_17 -> Pedestal_17: area0.3600m2; coverage1.000000; gap0.00000000m
Column_18 -> Pedestal_18: area0.3600m2; coverage1.000000; gap0.00000000m
Column_19 -> Pedestal_19: area0.3600m2; coverage1.000000; gap0.00000000m
Column_2 -> Pedestal_2: area0.3600m2; coverage1.000000; gap0.00000000m
Column_20 -> Pedestal_20: area0.3600m2; coverage1.000000; gap0.00000000m
Column_21 -> Pedestal_21: area0.3600m2; coverage1.000000; gap0.00000000m
Column_22 -> Pedestal_22: area0.3600m2; coverage1.000000; gap0.00000000m
Column_23 -> Pedestal_23: area0.3600m2; coverage1.000000; gap0.00000000m
Column_24 -> Pedestal_24: area0.3600m2; coverage1.000000; gap0.00000000m
Column_25 -> Pedestal_25: area0.3600m2; coverage1.000000; gap0.00000000m
Column_26 -> Pedestal_26: area0.3600m2; coverage1.000000; gap0.00000000m
Column_27 -> Pedestal_27: area0.3600m2; coverage1.000000; gap0.00000000m
Column_28 -> Pedestal_28: area0.3600m2; coverage1.000000; gap0.00000000m
Column_29 -> Pedestal_29: area0.3600m2; coverage1.000000; gap0.00000000m
Column_3 -> Pedestal_3: area0.3600m2; coverage1.000000; gap0.00000000m
Column_30 -> Pedestal_30: area0.3600m2; coverage1.000000; gap0.00000000m
Column_31 -> Pedestal_31: area0.3600m2; coverage1.000000; gap0.00000000m
Column_32 -> Pedestal_32: area0.3600m2; coverage1.000000; gap0.00000000m
Column_33 -> Pedestal_33: area0.3600m2; coverage1.000000; gap0.00000000m
Column_34 -> Pedestal_34: area0.3600m2; coverage1.000000; gap0.00000000m
Column_35 -> Pedestal_35: area0.3600m2; coverage1.000000; gap0.00000000m
Column_36 -> Pedestal_36: area0.3600m2; coverage1.000000; gap0.00000000m
Column_37 -> Pedestal_37: area0.3600m2; coverage1.000000; gap0.00000000m
Column_38 -> Pedestal_38: area0.3600m2; coverage1.000000; gap0.00000000m
Column_39 -> Pedestal_39: area0.3600m2; coverage1.000000; gap0.00000000m
Column_4 -> Pedestal_4: area0.3600m2; coverage1.000000; gap0.00000000m
Column_40 -> Pedestal_40: area0.3600m2; coverage1.000000; gap0.00000000m
Column_41 -> Pedestal_41: area0.3600m2; coverage1.000000; gap0.00000000m
Column_42 -> Pedestal_42: area0.3600m2; coverage1.000000; gap0.00000000m
Column_43 -> Pedestal_43: area0.3600m2; coverage1.000000; gap0.00000000m
Column_44 -> Pedestal_44: area0.3600m2; coverage1.000000; gap0.00000000m
Column_45 -> Pedestal_45: area0.3600m2; coverage1.000000; gap0.00000000m
Column_46 -> Pedestal_46: area0.3600m2; coverage1.000000; gap0.00000000m
Column_47 -> Pedestal_47: area0.3600m2; coverage1.000000; gap0.00000000m
Column_48 -> Pedestal_48: area0.3600m2; coverage1.000000; gap0.00000000m
Column_49 -> Pedestal_49: area0.3600m2; coverage1.000000; gap0.00000000m
Column_5 -> Pedestal_5: area0.3600m2; coverage1.000000; gap0.00000000m
Column_50 -> Pedestal_50: area0.3600m2; coverage1.000000; gap0.00000000m
Column_51 -> Pedestal_51: area0.3600m2; coverage1.000000; gap0.00000000m
Column_52 -> Pedestal_52: area0.3600m2; coverage1.000000; gap0.00000000m
Column_53 -> Pedestal_53: area0.3600m2; coverage1.000000; gap0.00000000m
Column_54 -> Pedestal_54: area0.3600m2; coverage1.000000; gap0.00000000m
Column_55 -> Pedestal_55: area0.3600m2; coverage1.000000; gap0.00000000m
Column_56 -> Pedestal_56: area0.3600m2; coverage1.000000; gap0.00000000m
Column_57 -> Pedestal_57: area0.3600m2; coverage1.000000; gap0.00000000m
Column_58 -> Pedestal_58: area0.3600m2; coverage1.000000; gap0.00000000m
Column_59 -> Pedestal_59: area0.3600m2; coverage1.000000; gap0.00000000m
Column_6 -> Pedestal_6: area0.3600m2; coverage1.000000; gap0.00000000m
Column_60 -> Pedestal_60: area0.3600m2; coverage1.000000; gap0.00000000m
Column_61 -> Pedestal_61: area0.3600m2; coverage1.000000; gap0.00000000m
Column_62 -> Pedestal_62: area0.3600m2; coverage1.000000; gap0.00000000m
Column_63 -> Pedestal_63: area0.3600m2; coverage1.000000; gap0.00000000m
Column_64 -> Pedestal_64: area0.3600m2; coverage1.000000; gap0.00000000m
Column_65 -> Pedestal_65: area0.3600m2; coverage1.000000; gap0.00000000m
Column_66 -> Pedestal_66: area0.3600m2; coverage1.000000; gap0.00000000m
Column_67 -> Pedestal_67: area0.3600m2; coverage1.000000; gap0.00000000m
Column_68 -> Pedestal_68: area0.3600m2; coverage1.000000; gap0.00000000m
Column_69 -> Pedestal_69: area0.3600m2; coverage1.000000; gap0.00000000m
Column_7 -> Pedestal_7: area0.3600m2; coverage1.000000; gap0.00000000m
Column_70 -> Pedestal_70: area0.3600m2; coverage1.000000; gap0.00000000m
Column_71 -> Pedestal_71: area0.3600m2; coverage1.000000; gap0.00000000m
Column_72 -> Pedestal_72: area0.3600m2; coverage1.000000; gap0.00000000m
Column_73 -> Pedestal_73: area0.3600m2; coverage1.000000; gap0.00000000m
Column_74 -> Pedestal_74: area0.3600m2; coverage1.000000; gap0.00000000m
Column_75 -> Pedestal_75: area0.3600m2; coverage1.000000; gap0.00000000m
Column_76 -> Pedestal_76: area0.3600m2; coverage1.000000; gap0.00000000m
Column_77 -> Pedestal_77: area0.3600m2; coverage1.000000; gap0.00000000m
Column_78 -> Pedestal_78: area0.3600m2; coverage1.000000; gap0.00000000m
Column_79 -> Pedestal_79: area0.3600m2; coverage1.000000; gap0.00000000m
Column_8 -> Pedestal_8: area0.3600m2; coverage1.000000; gap0.00000000m
Column_80 -> Pedestal_80: area0.3600m2; coverage1.000000; gap0.00000000m
Column_82 -> Pedestal_82: area0.3600m2; coverage1.000000; gap0.00000000m
Column_83 -> Pedestal_83: area0.3600m2; coverage1.000000; gap0.00000000m
Column_84 -> Pedestal_84: area0.3600m2; coverage1.000000; gap0.00000000m
Column_85 -> Pedestal_85: area0.3600m2; coverage1.000000; gap0.00000000m
Column_86 -> Pedestal_86: area0.3600m2; coverage1.000000; gap0.00000000m
Column_87 -> Pedestal_87: area0.3600m2; coverage1.000000; gap0.00000000m
